Sygnatura czasowa,"Zasady gry:
Ty i cztery inne osoby podajecie liczbę. Od 50 odejmujemy sumę wszystkich pięciu liczb. Następnie mnożymy otrzymaną wartość przez podaną przez ciebie liczbę - otrzymujemy twój wynik (wzór poniżej). Twoim celem jest osiągnięcie jak najwyższego wyniku.

Pomocniczy wzór:
x₁: twoja liczba 
x₂,...,x₅ : liczby pozostałych uczestników
S : 50-x₁-x₂-...-x₅ 
Twój wynik : x₁*S
(Wynik drugiej osoby x₂*S itd)


Jaką liczbę podasz?",Dlaczego wybrałeś akurat tę liczbę? (podaj tok rozumowania)
2026-01-11 15:15:16,-1,Bardzo prawdopodobne ze suma liczb pozostalych osob przekroczy 50 wiec wynik bedzie na minusie a niskie prawdopodobienstwo tego ze ktos inny da ujemna liczbe wiec moj wynik bedzie jedyny dodatni przez co najwiekszy. Nie jeszcze bardziej na minus bo mozna zniewelowac liczby pozostalych.
2026-01-11 15:42:17,75,Podałem taką liczbę która była moją ulubioną jak i była najbardziej praktyczną do gry
2026-01-11 18:29:11,5,umiar. Jesli każdy poda dużą to nic nie zostanie więc mnożenia na końcu już bez znaczenia.
2026-01-11 18:48:46,0,Mnożenie przez 0 daje 0
2026-01-11 19:17:32,11,Zakładam że pozostali gracze nie ryzykują i dają liczbę <=10 aby nie uzyskać wspólnego wyniku <= 0. Więc np dają 9 zeby miec jak najwyzszy wynik. Dając 11 wygram w takich przypadkach. Gorzej jak bedzie wiecej takich osób:D
2026-01-11 20:43:31,10,Suma cyfr uczestników nie może być większa ani równa 50. Najwyższą może być 10 a pozostałe cztery będą o 1 mniejsze o siebie. 
2026-01-11 21:01:29,7,to szczęśliwa liczba
2026-01-11 21:19:32,-3,Bo lubię liczby pierwsze:)
2026-01-11 21:36:40,20,nie za duza nie za mala
2026-01-11 22:05:02,0,"największa szansa na wygraną z racji, że cokolwiek razy 0 to 0. W przypadku gdy ktoś poda dużą liczbę nieujemną, wszyscy z dodatnimi przegrywają, mając końcowy wynik na minusie "
2026-01-11 22:28:06,-7,Ciekawe zadanie. niestety nie wiem co mogą zrobić inni ale jeśli przesadzą z liczbami dodatnimi to liczba ujemna będzie dobra 
2026-01-11 22:35:46,5,"Myślę, że pięciu uczestników widząc liczbę podzielna przez 5 podzieli ja na pięć mając jak największe szanse na zebranie punktów. Przydziałowa dla mnie to 10 punktów. Wybierając z 10 dwie liczby, które optymalnie dadzą jak największy wynik - to 5.(9*1=9,8*2=16,7*3=21,6*4=24,5*5=25)"
2026-01-12 01:46:13,6,"zakladając, że wszyscy wybralibysmy liczbe ktora kazdego równomiernie wynagradza to byłaby to 6. (Zaokrąglam bo nie bylo podane czy chodzi o liczby calkowite czy nie?)"
2026-01-12 07:37:03,15,iloczyn 3 i 5
2026-01-12 08:20:09,45,"45 jeżeli mam wygrać i jestem bezwzględna -> pozostali osoby chcąc mieć jakikolwiek pozytywny  wynik muszą podać liczbę1( zakładam że wysoki wynik liczbowy to wygrana pieniężna) i zakładając że można podać liczbę  od 1 wzwyż i liczby mogą powtarzać się . Może trafić się osoba ,która może zablokować wygraną wszystkich  uczestników i poda liczbę 2, wtedy wynik  dla wszystkich będzie 0."
2026-01-12 11:37:35,5,"wybrałam liczbę 5 aby łatwo się liczyło, S wyszło mi 15 , bo inni wybrali kolejno 6,7,8,9"
2026-01-12 12:00:02,206,Podałem liczbę 7 ponieważ była to pierwsza cyfra która przyszła na myśli 
2026-01-12 12:20:50,5,"Jeśli wszystkie 5 osób podadzą liczbę 5, to da największy wynik - 125"
